"questionId","contentUnitId","secondaryDomainSignals","catalog","sceneId","sceneVersion","sceneContentHash","questionContentHash","openingGeometryHash","ageBand","domainId","domainName","conceptId","conceptName","domainConceptMappingMethod","learningObjective","objectiveSource","format","cognitiveDemand","reflectionType","contextZone","sourceSupport","reviewStatus","navigationExposure","changedCueGenuine","changedCueManuallyVerified","evidenceStrength","evidenceRationale"
"exp26-u7-001-q1","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","78980c221ba668643b2a694895b5d96fce5d49a3a9a01e4791abf654347b0a69","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","choice","recall","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q2","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","c27376524a6aa422228139639f278024477290eef83f9248351ccd673e12e978","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","multi","recall","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q3","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","7569c10797cd02fd1ebe8762b6ccd494171a72116eed62d1f417bca7ad0d6b88","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","sequence","apply-sequence","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q4","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","ba4b6d33fbfc7679edf5a9bfa43b7b1785ce696a2796caad4853b734e0254e3e","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","position","apply-spatial","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q5","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","862825e91b64ac8bfae2a950553718e77ae3309b6f6e68102ea6e41c4106d5d1","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","choice","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","revised-and-rechecked","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q6","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","c2cf046697ea849708872c43653fadfa19746a414221614ca3e1e733ecd4fe3d","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","explain","analyze","required","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q7","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","02fb9eafb709f681a519a50d1db4a2e26acee080360816b47fffffd178655751","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","choice","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q8","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","e57b4afce8b94cf02ef8ffff2489beb97aef76358990cfdde5b1c85ded4333a7","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","multi","apply","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q9","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","970c333ff00a471955569c0db02a4dd775d81c07dbeab79c362633416287ee5b","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","position","apply-spatial","n/a","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
"exp26-u7-001-q10","","","experimental-bank","exp26-u7-001","2","1e0d6c62cfb30ae9","62c48396301588adc0f3b7c66cce33958ea483d2ec09ca41700a7f4d44168b7a","b9829d6f0478e237","U7","hockey-sense","Hockey Sense","reading-the-play","Reading The Play","explicit-scene-binding","Find a teammate before choosing whom to involve.","authored-objective-field","explain","analyze","optional-reflection","unknown","[{""title"":""Hockey Canada: Fundamental skill development for Timbits U7 hockey"",""url"":""https://www.hockeycanada.ca/en-ca/hockey-programs/coaching/under-7/coaches/skills""},{""title"":""USA Hockey: Skill Progressions for Youth Hockey (2019)"",""url"":""https://cdn1.sportngin.com/attachments/document/0066/4690/Skill_Progression_Manual_19_FINAL.pdf""}]","no-open-ai-finding","reachable-in-live-app","false","false","high","Scene binding: “Find a teammate before choosing whom to involve.” is taught through recognition of the developing play; the opening check “Who is your teammate?” makes that learner task explicit in this scene."
