"sceneId","questionId","age","topic","family","type","basis","prompt"
"exp26-u7-001","exp26-u7-001-q1","U7","Rink awareness","team-recognition","choice","scene","Who is your teammate?"
"exp26-u7-001","exp26-u7-001-q2","U7","Rink awareness","team-recognition","multi","scene","Which two things can you find here?"
"exp26-u7-001","exp26-u7-001-q3","U7","Rink awareness","team-recognition","sequence","coaching","Put this sharing routine in order."
"exp26-u7-001","exp26-u7-001-q4","U7","Rink awareness","team-recognition","position","coaching","Move YOU a little nearer Navy2 without standing on Navy2."
"exp26-u7-001","exp26-u7-001-q5","U7","Rink awareness","team-recognition","choice","coaching","Imagine Gold1 steps between you and Navy2. What could you do?"
"exp26-u7-001","exp26-u7-001-q6","U7","Rink awareness","team-recognition","explain","coaching","Tell a grown-up how you found your teammate."
"exp26-u7-001","exp26-u7-001-q7","U7","Rink awareness","team-recognition","choice","coaching","Imagine Gold1 takes the puck from YOU. What should you notice first?"
"exp26-u7-001","exp26-u7-001-q8","U7","Rink awareness","team-recognition","multi","coaching","Imagine Navy2 moves to a new spot while YOU hold the puck. Which two players should YOU keep track of?"
"exp26-u7-001","exp26-u7-001-q9","U7","Rink awareness","team-recognition","position","coaching","Move YOU with the puck to try a different passing angle toward Navy2."
"exp26-u7-001","exp26-u7-001-q10","U7","Rink awareness","team-recognition","explain","coaching","Imagine Gold1 skates closer to YOU. Tell an adult what changed."
"exp26-u7-002","exp26-u7-002-q1","U7","Puck control","loose-puck-recognition","choice","scene","Who has the puck right now?"
"exp26-u7-002","exp26-u7-002-q2","U7","Puck control","loose-puck-recognition","choice","scene","What did the coach ask YOU to do?"
"exp26-u7-002","exp26-u7-002-q3","U7","Puck control","loose-puck-recognition","sequence","coaching","Arrange a gentle collection try."
"exp26-u7-002","exp26-u7-002-q4","U7","Puck control","loose-puck-recognition","position","coaching","Show a place near the puck to finish your approach."
"exp26-u7-002","exp26-u7-002-q5","U7","Puck control","loose-puck-recognition","choice","coaching","Imagine Navy2 reaches it first and controls it. Is it still loose?"
"exp26-u7-002","exp26-u7-002-q6","U7","Puck control","loose-puck-recognition","explain","coaching","How could you tell the puck was waiting for someone?"
"exp26-u7-002","exp26-u7-002-q7","U7","Puck control","loose-puck-recognition","choice","coaching","After YOU collect it, Navy2 asks for a pass. What helps before sending it?"
"exp26-u7-002","exp26-u7-002-q8","U7","Puck control","loose-puck-recognition","multi","coaching","After the pickup, what helps a pass reach Navy2?"
"exp26-u7-002","exp26-u7-002-q9","U7","Puck control","loose-puck-recognition","position","coaching","Move Navy2 to give YOU a short pass after the pickup. Leave room between you."
"exp26-u7-002","exp26-u7-002-q10","U7","Puck control","loose-puck-recognition","explain","coaching","You touched the puck, but it slid away. Is your pickup finished? Tell a grown-up."
"exp26-u7-003","exp26-u7-003-q1","U7","Puck control","open-space-carry","choice","scene","Who is directly ahead of YOU?"
"exp26-u7-003","exp26-u7-003-q2","U7","Puck control","open-space-carry","multi","scene","What is shown on the side away from Navy2?"
"exp26-u7-003","exp26-u7-003-q3","U7","Puck control","open-space-carry","sequence","coaching","Arrange this try at finding room."
